,id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,resVarA,resVarB,AGI,Description,Nitrate induced,Nitrate repressed,Present in ATH1?,,
3925,protein_coding_gene|+|AT1G67920,26.389274,11.15281657,41.62573144,3.73230665,1.900067524,7.05E-07,7.00E-05,0.048219363,1.204425472,AT1G67920,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G24600.1); Has 22 Blast hits to 22 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
3939,protein_coding_gene|-|AT1G68070,51.33922197,33.59411706,69.08432688,2.056441214,1.040149831,0.00034535,0.01615689,0.000987566,1.253232355,AT1G68070,"Zinc finger, C3HC4 type (RING finger) family protein",1,0,1,,
3952,protein_coding_gene|+|AT1G68238,6.599695052,0,13.1993901,Inf,Inf,8.24E-09,1.17E-06,0,0.398027645,AT1G68238,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1,0,0,,
3959,protein_coding_gene|-|AT1G68360,15.60477593,8.19983596,23.00971589,2.80611905,1.488576217,0.000416671,0.018794063,0.00787773,2.185127315,AT1G68360,C2H2 and C2HC zinc fingers superfamily protein,1,0,1,,
3985,protein_coding_gene|+|AT1G68670,20.22241693,2.248652295,38.19618157,16.98625513,4.086295919,2.14E-15,6.31E-13,0.003713546,0.010028081,AT1G68670,myb-like transcription factor family protein,1,0,1,,
3997,protein_coding_gene|-|AT1G68825,7.647491621,2.952980606,12.34200264,4.179506838,2.063332721,0.001022058,0.040145596,0.120352196,0.024145715,AT1G68825,"DVL5, RTFL15, ROTUNDIFOLIA like 15",1,0,0,,
4002,protein_coding_gene|-|AT1G68880,11.75763982,1.49910153,22.01617811,14.68624884,3.876394045,1.55E-10,2.68E-08,0.003721774,4.611504609,AT1G68880,"AtbZIP, bZIP, basic leucine-zipper 8",1,0,1,,
4016,protein_coding_gene|-|AT1G69070,35.16111946,22.17958124,48.14265767,2.170584609,1.11808366,0.000423275,0.019001035,0.227399264,1.029713017,AT1G69070,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nop14-like protein (InterPro:IPR007276); Has 69842 Blast hits to 35213 proteins in 1572 species: Archae - 363; Bacteria - 20593; Metazoa - 20851; Fungi - 8010; Plants - 2912; Viruses - 517; Other Eukaryotes - 16596 (source: NCBI BLink).,1,0,1,,
4074,protein_coding_gene|-|AT1G69850,71.18710435,98.27197963,44.10222907,0.448777253,-1.155928542,8.95E-05,0.005139781,0.010160994,0.447200331,AT1G69850,"ATNRT1:2, NRT1:2, NTL1, nitrate transporter 1:2",0,1,1,,
4101,protein_coding_gene|-|AT1G70260,31.33187314,3.702531371,58.9612149,15.92456862,3.993182387,3.94E-20,1.77E-17,0.025632572,0.028531371,AT1G70260,nodulin MtN21 /EamA-like transporter family protein,1,0,0,,
4112,protein_coding_gene|-|AT1G70410,116.3127634,19.83086857,212.7946582,10.73047594,3.423642162,5.85E-33,5.01E-30,0.25489575,0.886652039,AT1G70410,"ATBCA4, BCA4, CA4, beta carbonic anhydrase 4",1,0,1,,
4143,protein_coding_gene|-|AT1G70780,80.29471923,26.26988375,134.3195547,5.113062393,2.354187631,2.15E-16,7.24E-14,0.229269954,0.113370656,AT1G70780,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: sperm cell, male gametophyte, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G23150.1); Has 143 Blast hits to 143 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 143; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",1,0,0,,
4144,protein_coding_gene|-|AT1G70782,80.29471923,26.26988375,134.3195547,5.113062393,2.354187631,2.15E-16,7.24E-14,0.229269954,0.113370656,AT1G70782,"CPuORF28, conserved peptide upstream open reading frame 28",1,0,0,,
4146,protein_coding_gene|+|AT1G70800,4.424365463,1.146937374,7.701793552,6.715095111,2.747407834,0.001078146,0.041994219,0.18532121,0.023124924,AT1G70800,Calcium-dependent lipid-binding (CaLB domain) family protein,1,0,0,,
4225,protein_coding_gene|+|AT1G71980,29.43129656,18.55787931,40.3047138,2.171838341,1.118916721,0.000833098,0.03385177,0.166939805,1.516316671,AT1G71980,Protease-associated (PA) RING/U-box zinc finger family protein,1,0,1,,
4251,protein_coding_gene|-|AT1G72300,40.48534324,23.6690673,57.30161918,2.420949607,1.275573049,9.65E-05,0.005463156,0.467211234,1.097471154,AT1G72300,Leucine-rich receptor-like protein kinase family protein,1,0,1,,
4326,protein_coding_gene|+|AT1G73220,6.919500296,11.94758978,1.891410808,0.158308985,-2.659184958,0.000771231,0.031610428,7.22E-05,0.063539448,AT1G73220,"1-Oct, AtOCT1, organic cation/carnitine transporter1",0,1,1,,
4357,protein_coding_gene|+|AT1G73600,34.6290179,8.732889928,60.52514586,6.930712096,2.79300359,1.48E-14,3.97E-12,0.353724682,2.111940852,AT1G73600,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,1,0,0,,
4358,protein_coding_gene|+|AT1G73602,33.28592588,7.938116711,58.63373506,7.386353362,2.884862283,7.41E-15,2.09E-12,0.171904451,2.064199089,AT1G73602,"CPuORF32, conserved peptide upstream open reading frame 32",1,0,0,,
4388,protein_coding_gene|+|AT1G73920,33.1258715,16.57094626,49.68079674,2.998066371,1.584032322,4.26E-06,0.000355719,0.698791782,0.004945156,AT1G73920,alpha/beta-Hydrolases superfamily protein,1,0,1,,
4400,protein_coding_gene|-|AT1G74030,166.4304118,84.96095568,247.899868,2.917809316,1.544885604,1.16E-10,2.06E-08,0.038376077,0.263406479,AT1G74030,"ENO1, enolase 1",1,0,1,,
4423,protein_coding_gene|-|AT1G74310,157.2539651,95.62308584,218.8848444,2.289037657,1.194741197,4.32E-07,4.47E-05,3.53888229,9.836068019,AT1G74310,"ATHSP101, HOT1, HSP101, heat shock protein 101",1,0,1,,
4486,protein_coding_gene|-|AT1G75140,17.04669643,8.552000116,25.54139274,2.986598736,1.578503418,0.0002644,0.012970595,0.041897868,0.289690723,AT1G75140,unknown protein; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G19370.1); Has 51 Blast hits to 49 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 46; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).,1,0,1,,
4578,protein_coding_gene|+|AT1G76350,36.00158865,57.90591417,14.09726313,0.24345118,-2.038295603,1.53E-07,1.76E-05,3.057208364,0.032224177,AT1G76350,Plant regulator RWP-RK family protein,0,1,1,,
4695,protein_coding_gene|-|AT1G77760,910.4718148,197.5658956,1623.377734,8.216892544,3.0385929,5.40E-37,5.99E-34,0.867830331,7.896879503,AT1G77760,"GNR1, NIA1, NR1, nitrate reductase 1",1,0,1,,
4709,protein_coding_gene|+|AT1G78000,29.25825113,10.00587919,48.51062308,4.84821195,2.277452771,1.12E-09,1.77E-07,0.110824297,0.003711927,AT1G78000,"SEL1, SULTR1;2, sulfate transporter 1;2",1,0,1,,
4713,protein_coding_gene|+|AT1G78050,90.04376718,11.36931336,168.718221,14.83978984,3.891398756,1.75E-35,1.65E-32,0.162691821,0.379346582,AT1G78050,"PGM, phosphoglycerate/bisphosphoglycerate mutase",1,0,1,,
4717,protein_coding_gene|+|AT1G78090,3.041341691,0,6.082683381,Inf,Inf,0.000143465,0.007597994,0,0.81729496,AT1G78090,"ATTPPB, TPPB, trehalose-6-phosphate phosphatase",1,0,1,,
4790,protein_coding_gene|-|AT1G78990,17.26879151,25.66561582,8.871967212,0.345675213,-1.532510938,0.001287346,0.048607033,0.952256952,0.170846425,AT1G78990,HXXXD-type acyl-transferase family protein,0,1,1,,
4814,protein_coding_gene|+|AT1G79320,16.04494098,26.27949922,5.810382744,0.221099447,-2.177232679,1.99E-05,0.001346763,0.250304365,0.000142786,AT1G79320,"AtMC6, MC6, metacaspase 6",0,1,1,,
4897,protein_coding_gene|+|AT1G80310,24.0209535,13.35624641,34.68566059,2.596961716,1.376824746,0.000305747,0.014743102,0.140469861,0.334696731,AT1G80310,sulfate transmembrane transporters,1,0,1,,
4902,protein_coding_gene|+|AT1G80380,40.38087054,6.926846696,73.83489439,10.6592361,3.414032146,7.62E-20,3.19E-17,0.634106641,1.644960659,AT1G80380,P-loop containing nucleoside triphosphate hydrolases superfamily protein,1,0,1,,
4906,protein_coding_gene|+|AT1G80440,10.24835122,2.248652295,18.24805014,8.115105295,3.020609814,9.07E-07,8.86E-05,0.007363833,2.345955037,AT1G80440,Galactose oxidase/kelch repeat superfamily protein,1,0,1,,
4964,protein_coding_gene|-|AT2G01140,560.6772766,268.6047988,852.7497544,3.174737601,1.666637355,5.63E-13,1.26E-10,0.621132955,5.65304845,AT2G01140,Aldolase superfamily protein,1,0,1,,
5348,protein_coding_gene|+|AT2G15620,2942.741107,287.2541738,5598.228039,19.48876135,4.284570495,2.46E-52,6.63E-49,0.154672405,0.150635517,AT2G15620,"ATHNIR, NIR, NIR1, nitrite reductase 1",1,0,1,,
5367,protein_coding_gene|-|AT2G16060,429.957003,127.8537687,732.0602373,5.725761896,2.517467678,3.77E-27,2.73E-24,0.522579124,2.785398244,AT2G16060,"AHB1, ARATH GLB1, ATGLB1, GLB1, HB1, NSHB1, hemoglobin 1",1,0,1,,
5410,protein_coding_gene|+|AT2G16890,60.27123236,41.44178886,79.10067585,1.908717698,0.932603742,0.001317004,0.049169894,0.000215341,0.493792882,AT2G16890,UDP-Glycosyltransferase superfamily protein,1,0,1,,
5459,protein_coding_gene|+|AT2G17500,44.44622194,62.49366367,26.39878021,0.422423309,-1.243238651,0.000219441,0.011152537,3.400936732,0.436461531,AT2G17500,Auxin efflux carrier family protein,0,1,1,,
5477,protein_coding_gene|+|AT2G17710,34.48741074,53.29893374,15.67588774,0.294112596,-1.765559525,2.22E-06,0.00020193,0.054216967,0.068477316,AT2G17710,unknown protein; Has 39 Blast hits to 39 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0,1,1,,
5485,protein_coding_gene|-|AT2G17820,27.91192413,11.64064808,44.18320018,3.795596248,1.924326536,1.31E-07,1.54E-05,0.077115375,0.206146732,AT2G17820,"AHK1, ATHK1, HK1, histidine kinase 1",1,0,1,,
5513,protein_coding_gene|-|AT2G18193,35.6260987,21.33958557,49.91261182,2.338968189,1.225872241,0.000270835,0.013228834,0.031876914,0.713700329,AT2G18193,P-loop containing nucleoside triphosphate hydrolases superfamily protein,1,0,0,,
5571,protein_coding_gene|+|AT2G18960,1071.996807,762.3076998,1381.685914,1.812504208,0.857984344,0.000353341,0.016408618,0.741350662,1.739119419,AT2G18960,"AHA1, HA1, OST2, PMA, H(+)-ATPase 1",1,0,1,,
5606,protein_coding_gene|-|AT2G19590,246.9718619,169.9642789,323.9794449,1.906161971,0.930670714,6.45E-05,0.003847597,0.942957441,0.064040321,AT2G19590,"ACO1, ATACO1, ACC oxidase 1",1,0,1,,
5783,protein_coding_gene|+|AT2G22080,167.5914038,113.4535002,221.7293074,1.954362862,0.966698354,2.06E-05,0.001390535,0.426076204,7.234503126,AT2G22080,unknown protein; Has 96314 Blast hits to 34847 proteins in 1702 species: Archae - 612; Bacteria - 27969; Metazoa - 24311; Fungi - 12153; Plants - 4409; Viruses - 1572; Other Eukaryotes - 25288 (source: NCBI BLink).,1,0,1,,
5806,protein_coding_gene|-|AT2G22430,171.4961084,228.1607588,114.831458,0.503291884,-0.990532763,0.000264133,0.012970595,0.099847626,1.710240312,AT2G22430,"ATHB6, HB6, homeobox protein 6",0,1,1,,
5900,protein_coding_gene|-|AT2G23790,41.80114853,58.56502003,25.03727702,0.427512481,-1.225961555,0.000650361,0.027431567,2.234019037,0.997014425,AT2G23790,Protein of unknown function (DUF607),0,1,0,,
5948,protein_coding_gene|-|AT2G24550,212.6139046,113.741211,311.4865983,2.738555319,1.453415023,4.20E-10,7.01E-08,0.014134404,0.801071846,AT2G24550,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G31510.1); Has 219 Blast hits to 219 proteins in 33 species: Archae - 0; Bacteria - 0; Metazoa - 16; Fungi - 2; Plants - 184; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink).,1,0,1,,
5960,protein_coding_gene|-|AT2G24720,6.506015157,2.248652295,10.76337802,4.786590637,2.258998428,0.000616275,0.026228556,0.008990731,0.302823395,AT2G24720,"ATGLR2.2, GLR2.2, glutamate receptor 2.2",1,0,0,,
5963,protein_coding_gene|+|AT2G24790,162.9933082,109.6961309,216.2904855,1.971723922,0.979457562,4.37E-05,0.00274326,0.078757844,0.002620382,AT2G24790,"ATCOL3, COL3, CONSTANS-like 3",1,0,1,,
6095,protein_coding_gene|-|AT2G26650,109.5714453,78.03410898,141.1087816,1.808296185,0.854630999,0.000721916,0.029848704,0.000141104,0.259098326,AT2G26650,"AKT1, ATAKT1, KT1, K+ transporter 1",1,0,1,,
6111,protein_coding_gene|+|AT2G26820,57.55954727,28.7802553,86.33883924,2.999933056,1.584930307,6.87E-08,8.42E-06,0.685579807,0.433616782,AT2G26820,"ATPP2-A3, PP2-A3, phloem protein 2-A3",1,0,1,,
6121,protein_coding_gene|-|AT2G26980,39.85163305,8.904164272,70.79910182,7.951234911,2.991178944,6.67E-17,2.42E-14,0.047077937,0.656681413,AT2G26980,"CIPK3, SnRK3.17, CBL-interacting protein kinase 3",1,0,1,,
6163,protein_coding_gene|-|AT2G27510,1120.679066,224.0811225,2017.277009,9.002440662,3.170316185,1.39E-39,1.75E-36,0.393712954,1.615425252,AT2G27510,"ATFD3, FD3, ferredoxin 3",1,0,1,,
6166,protein_coding_gene|-|AT2G27580,76.48040009,54.10332243,98.85747775,1.827197912,0.869632907,0.000852152,0.034477399,0.349891205,0.685978891,AT2G27580,A20/AN1-like zinc finger family protein,1,0,1,,
6184,protein_coding_gene|+|AT2G27830,23.89615173,8.425948226,39.36635523,4.672038585,2.224052189,1.48E-08,2.03E-06,1.120220274,0.002920515,AT2G27830,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G22758.1); Has 131 Blast hits to 131 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 131; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
6207,protein_coding_gene|+|AT2G28190,49.86179472,31.29062684,68.4329626,2.187011559,1.128960846,0.000352234,0.016397566,1.280501917,2.561594307,AT2G28190,"CSD2, CZSOD2, copper/zinc superoxide dismutase 2",1,0,1,,
6237,protein_coding_gene|-|AT2G28550,64.11750665,33.4584497,94.7765636,2.832664527,1.502159753,2.40E-07,2.65E-05,0.105160705,0.588871399,AT2G28550,"RAP2.7, TOE1, related to AP2.7",1,0,1,,
6252,protein_coding_gene|-|AT2G28780,26.41644117,4.009473074,48.82340927,12.17701388,3.606088485,2.82E-16,9.02E-14,0.306112145,0.095131711,AT2G28780,"unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: inflorescence meristem, root, flower; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF939, bacterial (InterPro:IPR010343); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G09450.1); Has 671 Blast hits to 667 proteins in 305 species: Archae - 0; Bacteria - 588; Metazoa - 0; Fungi - 2; Plants - 66; Viruses - 0; Other Eukaryotes - 15 (source: NCBI BLink).",1,0,1,,
6257,protein_coding_gene|+|AT2G28840,266.2101391,341.969278,190.4510002,0.556924298,-0.844446857,0.000761641,0.031285351,2.901765477,0.212357143,AT2G28840,"XBAT31, XB3 ortholog 1 in Arabidopsis thaliana",0,1,1,,
6260,protein_coding_gene|-|AT2G28890,118.099987,72.48992739,163.7100465,2.25838337,1.17529041,1.65E-06,0.000153037,0.300596031,1.149142139,AT2G28890,"PLL4, poltergeist like 4",1,0,1,,
6297,protein_coding_gene|-|AT2G29500,114.5542243,63.86385842,165.2445902,2.587450778,1.371531418,2.11E-08,2.83E-06,0.995097835,13.57494127,AT2G29500,HSP20-like chaperones superfamily protein,1,0,1,,
6318,protein_coding_gene|+|AT2G29730,30.31902566,16.39967192,44.23837939,2.697516121,1.431631582,6.39E-05,0.003827224,0.012902228,1.157189547,AT2G29730,"UGT71D1, UDP-glucosyl transferase 71D1",1,0,0,,
6334,protein_coding_gene|+|AT2G30040,46.46264424,15.30757247,77.617716,5.070543756,2.342140468,7.18E-13,1.59E-10,1.316023067,1.30211483,AT2G30040,"MAPKKK14, mitogen-activated protein kinase kinase kinase 14",1,0,1,,
6338,protein_coding_gene|-|AT2G30080,3.774367198,0.704328312,6.844406084,9.717635895,3.280605378,0.00072803,0.030035629,0.730498728,0.691402169,AT2G30080,"ATZIP6, ZIP6, ZIP metal ion transporter family",1,0,1,,
6339,protein_coding_gene|+|AT2G30100,43.5935851,13.01369772,74.17347248,5.699646178,2.510872363,1.96E-14,5.20E-12,1.109752245,1.460274821,AT2G30100,pentatricopeptide (PPR) repeat-containing protein,1,0,0,,
6381,protein_coding_gene|-|AT2G30660,56.13627899,29.40375417,82.86880382,2.818306919,1.494828732,2.70E-07,2.94E-05,0.053426857,0.733519966,AT2G30660,ATP-dependent caseinolytic (Clp) protease/crotonase family protein,1,0,1,,
6382,protein_coding_gene|-|AT2G30670,158.4281367,70.24803568,246.6082376,3.510535707,1.811691202,2.64E-13,6.14E-11,1.287767032,0.026548683,AT2G30670,NAD(P)-binding Rossmann-fold superfamily protein,1,0,1,,
6412,protein_coding_gene|-|AT2G31141,173.0109571,125.9668961,220.055018,1.746927367,0.804819626,0.00042553,0.019056852,1.580145266,8.976289014,AT2G31141,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1,0,0,,
6477,protein_coding_gene|-|AT2G32020,17.89048088,7.450285196,28.33067657,3.802629809,1.926997498,8.04E-06,0.000613445,0.010874167,0.020368002,AT2G32020,Acyl-CoA N-acyltransferases (NAT) superfamily protein,1,0,1,,
6515,protein_coding_gene|+|AT2G32560,27.07786289,45.59654477,8.559181019,0.187715562,-2.413379839,2.37E-08,3.14E-06,1.173439268,0.104826436,AT2G32560,F-box family protein,0,1,1,,
6583,protein_coding_gene|-|AT2G33550,203.1778489,28.46369813,377.8919998,13.27627907,3.730778956,2.80E-45,4.41E-42,0.356030128,0.144359339,AT2G33550,Homeodomain-like superfamily protein,1,0,0,,
6609,protein_coding_gene|-|AT2G33850,5.457649761,9.472825225,1.442474297,0.152274983,-2.715249154,0.001296411,0.048607033,2.07246864,0.894628399,AT2G33850,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 9 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G28400.1); Has 3053 Blast hits to 2119 proteins in 133 species: Archae - 6; Bacteria - 52; Metazoa - 135; Fungi - 96; Plants - 73; Viruses - 2; Other Eukaryotes - 2689 (source: NCBI BLink).,0,1,1,,
6683,protein_coding_gene|-|AT2G35000,43.49221408,24.90644958,62.07797858,2.492445917,1.3175622,4.14E-05,0.002621392,0.102037242,1.512757599,AT2G35000,RING/U-box superfamily protein,1,0,1,,
6770,protein_coding_gene|+|AT2G36090,174.3367092,117.7410686,230.9323499,1.961357687,0.971852659,5.36E-05,0.003260553,0.339004221,0.009566923,AT2G36090,F-box family protein,1,0,1,,
6788,protein_coding_gene|+|AT2G36320,67.96261474,43.81649305,92.10873643,2.102147617,1.071863981,0.000129848,0.007053747,0.239726815,0.037159905,AT2G36320,A20/AN1-like zinc finger family protein,1,0,1,,
6806,protein_coding_gene|-|AT2G36530,890.268038,577.3783971,1203.157679,2.083828707,1.059236692,4.54E-06,0.000373759,0.855804954,0.00123803,AT2G36530,"ENO2, LOS2, Enolase",1,0,1,,
6808,protein_coding_gene|+|AT2G36580,250.9381563,67.30467054,434.571642,6.456782842,2.690815506,1.80E-28,1.36E-25,0.220934234,2.733001436,AT2G36580,Pyruvate kinase family protein,1,0,0,,
6831,protein_coding_gene|+|AT2G36910,125.6756125,163.201946,88.14927894,0.540123945,-0.888637586,0.000879777,0.035367418,0.139337402,0.020336996,AT2G36910,"ABCB1, ATPGP1, PGP1, ATP binding cassette subfamily B1",0,1,1,,
6940,protein_coding_gene|-|AT2G38170,18.04861737,9.834604849,26.26262989,2.670430616,1.4170724,0.00070903,0.029392791,0.437164277,0.413370804,AT2G38170,"ATCAX1, CAX1, RCI4, cation exchanger 1",1,0,1,,
6948,protein_coding_gene|-|AT2G38290,36.63759044,50.21028578,23.0648951,0.45936594,-1.122284205,0.001133061,0.043686576,0.227392638,0.369586383,AT2G38290,"AMT2, AMT2;1, ATAMT2, ammonium transporter 2",0,1,1,,
6958,protein_coding_gene|+|AT2G38400,50.69752659,68.83261848,32.5624347,0.473066918,-1.079883819,0.00106035,0.041476862,0.946175177,0.166964237,AT2G38400,"AGT3, alanine:glyoxylate aminotransferase 3",0,1,1,,
7204,protein_coding_gene|+|AT2G41310,18.85295302,8.109391054,29.59651499,3.649659363,1.867761818,1.59E-05,0.001108168,0.34409896,0.572050325,AT2G41310,"ARR8, ATRR3, RR3, response regulator 3",1,0,1,,
7213,protein_coding_gene|+|AT2G41440,16.0537837,6.212902916,25.89466449,4.167884938,2.05931545,6.07E-06,0.00048702,0.748911798,0.861347173,AT2G41440,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G41470.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1,0,0,,
7225,protein_coding_gene|-|AT2G41560,56.13605297,17.80832854,94.4637774,5.304471847,2.407209113,2.59E-14,6.59E-12,0.095211817,1.091221449,AT2G41560,"ACA4, autoinhibited Ca(2+)-ATPase, isoform 4",1,0,1,,
7231,protein_coding_gene|+|AT2G41660,75.6536848,46.40769403,104.8996756,2.260394052,1.176574298,1.86E-05,0.00127091,1.418332996,0.067985077,AT2G41660,"MIZ1, Protein of unknown function, DUF617",1,0,1,,
7239,protein_coding_gene|+|AT2G41730,7.445464376,1.146937374,13.74399138,11.98320997,3.582942513,2.96E-06,0.000260431,0.14932262,3.320114621,AT2G41730,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G24640.1); Has 25 Blast hits to 25 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
7303,protein_coding_gene|-|AT2G42600,31.00916904,13.13974961,48.87858848,3.71990258,1.895264839,1.86E-07,2.10E-05,0.077265284,1.336531795,AT2G42600,"ATPPC2, PPC2, phosphoenolpyruvate carboxylase 2",1,0,1,,
7383,protein_coding_gene|+|AT2G43500,35.23809444,51.60256635,18.87362253,0.365749688,-1.451071462,7.91E-05,0.004605083,3.782528408,0.039685386,AT2G43500,Plant regulator RWP-RK family protein,0,1,1,,
7403,protein_coding_gene|+|AT2G43760,48.80387118,26.57682546,71.0309169,2.672663709,1.41827832,4.02E-06,0.000338599,0.672333876,0.00094148,AT2G43760,molybdopterin biosynthesis MoaE family protein,1,0,1,,
7450,protein_coding_gene|+|AT2G44350,85.76720279,57.24395343,114.2904522,1.996550645,0.997509669,0.000393016,0.017941692,2.776642011,2.208459676,AT2G44350,"ATCS, CSY4, Citrate synthase family protein",1,0,1,,
7540,protein_coding_gene|-|AT2G45520,17.76653062,9.870211834,25.6628494,2.600030256,1.378528412,0.000461437,0.020279565,1.244958328,5.203516118,AT2G45520,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 260 Blast hits to 238 proteins in 75 species: Archae - 0; Bacteria - 6; Metazoa - 94; Fungi - 40; Plants - 38; Viruses - 0; Other Eukaryotes - 82 (source: NCBI BLink).,1,0,1,,
7559,protein_coding_gene|-|AT2G45760,4.5126834,1.146937374,7.878429425,6.869101666,2.780121437,0.000520378,0.022711112,0.184216739,2.3523175,AT2G45760,"BAL, BAP2, BON association protein 2",1,0,0,,
7634,protein_coding_gene|-|AT2G46620,69.44472308,36.46626823,102.4231779,2.808710156,1.489907754,8.23E-08,9.82E-06,0.252793347,0.039972622,AT2G46620,P-loop containing nucleoside triphosphate hydrolases superfamily protein,1,0,1,,
7672,protein_coding_gene|-|AT2G47160,22.09852019,8.109391054,36.08764933,4.450105944,2.153839683,3.50E-07,3.67E-05,0.306756605,2.424241135,AT2G47160,"BOR1, HCO3- transporter family",1,0,1,,
7740,protein_coding_gene|-|AT2G47990,59.26196502,38.25308052,80.27084951,2.098415302,1.069300233,0.000310159,0.014917707,1.642977833,0.373226226,AT2G47990,"EDA13, EDA19, SWA1, transducin family protein / WD-40 repeat family protein",1,0,1,,
7747,protein_coding_gene|-|AT2G48080,35.70183772,3.964250621,67.43942481,17.01189739,4.088472154,8.56E-22,4.36E-19,0.426242697,2.024465251,AT2G48080,"oxidoreductase, 2OG-Fe(II) oxygenase family protein",1,0,1,,
7775,protein_coding_gene|-|AT3G01290,200.5772218,307.0733253,94.08111835,0.306379977,-1.70660608,4.34E-10,7.18E-08,2.030263256,0.281282819,AT3G01290,SPFH/Band 7/PHB domain-containing membrane-associated protein family,0,1,1,,
7788,protein_coding_gene|-|AT3G01420,234.1826462,306.2044832,162.1608092,0.529583393,-0.917070213,0.000264481,0.012970595,0.239861394,0.138991437,AT3G01420,"ALPHA-DOX1, DIOX1, DOX1, PADOX-1, Peroxidase superfamily protein",0,1,1,,
7922,protein_coding_gene|+|AT3G02910,300.9378685,199.406495,402.469242,2.018335672,1.013166131,1.03E-05,0.000763844,7.83E-06,0.299147908,AT3G02910,AIG2-like (avirulence induced gene) family protein,1,0,1,,
7933,protein_coding_gene|+|AT3G03040,10.95577199,5.201632901,16.70991108,3.212435672,1.683667565,0.00111904,0.043240022,0.038820288,0.030093067,AT3G03040,F-box/RNI-like superfamily protein,1,0,1,,
